,Review Text,Label,Bert,LR
18,This top is gorgeous dress it up for work or wear with jeans for a more casual look. the top fits true to size and the lace is not overdone . i would recommend this and can't wait to wear it.,1,1,1
19,"Loved the look, fit and styling of this turtleneck. but dry clean only, you have to be kidding?",0,0,0
20,"I tried this top on at store and didn't want to buy at full price even though it made my heart skip a beat with how adorable it was. it is even cuter on. so when i saw it finally went on sale and i got an additional 20% off i immediately ordered!!!! it is flowy, comfortable and fun. wore it today layered with a black turtleneck and long black vest.",1,1,1
21,"After seeing this dress online i wanted to try it on and was not disappointed when i did. even though the coral color dress of the same style was pretty it wasn't the right color for me. i absolutely love the blue and white dress! i usually wear a size 8 but found the 6 was more flattering. i'm 5'2"" and the length was perfect - above the knee but not too high. love it!",1,1,1
22,"This is one fabulous-looking dress; however, the really scratchy neckline at the lace edge was a deal-breaker for me. i even tried sizing up, to see if that would help, but it was still too scratchy for me.",0,0,0
23,"Well-made, gorgeous bra! the 'red' is more wine in person, which is great. this bra runs quite small--go up at least 1 band and 1 cup size. i got a 36c and it fits great! (i'm a 34b across brands like vs, etc.) 
you'll feel extra saucy and a bit mischievous knowing you're wearing something this sexy.",1,1,1
24,"The fit on this dress is super flattering! i am not normally able to wear a sheath but i felt great in this one. i am definitely a pear shape, bigger on the bottom than the top. one of the things i really love about this dress is that the size that fits me through the hips fits me on top. this is not often the case. i am not sure how this would work on someone with a large bust or an apple body type but i felt great in it. i also love the colors. i bought the green and blue. i have worn it once",1,1,1
25,"This dress looks great online with boots as shown. when it arrived and i tried it on, it fit great on my arms, wasn't too tight on my neck, but once it went down over my chest (36c), the dress never came back ""in"" to show my feminine waist/shape. it just looked like a big trash bag on me, very disappointing! similar to a mumu.",0,0,0
26,"Love the fit of the jeans just wish there was a couple more inches at the bottom:) these jeans have a 23 inch inseam not 26, so they hit at a very odd place on my calf- return. for reference i'm 5'8,",0,0,0
27,"As a beach cover-up this would be great, but i'm surprised retailer calls this a dress and doesn't show on the model how thin it is. it's pretty sheer and i couldn't get away without layering it.",0,0,0
28,"Note the sleeves on the model. that is how your regular size will fit your arms. however, even if you have skinny arms like i do, the sleeves will be tight. i bought my regular size xs and it was clingy with an odd flair and the length seems as though i ordered a petite and i am only 5 ft 2 in.
i advise to try a few sizes on if you really are interested. the red is truly a red which is a good thing because so often it is hard to find a red that is not neon.",0,0,1
29,"I love the length of this and that i can wear it with skinny jeans or leggings, but it does seem to run a little small and it is not as long as on the model. i do think it is a cute addition to my wardrobe though.",1,1,1
30,I just ordered this top and i love it! it is a perfect top for fall days with a cute leather jacket.,1,1,1
31,"If it's a knock off, its of the ""poise"" dress, and a pretty good one at that. this is a beautiful dress that took my breath away the moment i saw it. when i saw such a poor rating i just had to see why. the erin fetherston dress is over $100 more and they look just about the same. i'd rather have the $ and the look!",1,1,0
32,"The shirt is absolutely cute looking. but that's just that....looks. i'm 5'2"" size 6 & wears m to l top. i tried on the medium in the store, it was rather flowing. i liked it. but i didn't like how it fit on the underarm area. it hung very low. so i ordered a petite m. still the same. plus the store the lighting was dark so i didn't realize how see through the shirt was too. had to return it.",0,0,0
33,I ordered the shirt bc it looked soo cute despite the fact many said this shirt was see thru. it's true.. had to return it,0,0,0
34,"This dress turned out to be a huge disappointment!!! i was in loveee with the picture! in real life, not so much. the material felt thin and cheap! and the yellow was super yellow! nothing like the picture. i was so bummed! returned it earlier today...",0,0,0
35,I am wearing a medium in the photos and for reference my measurements are 38-30-40. i did not purchase this top.,1,0,1
36,"Beautifully embroidered dress.  it's loose fitting, not meant to be tailor fitted, so it would run large to you if that's what you were expecting.  the colors are gorgeous and the skirt has a really beautiful flow.  if you are hoping for a fitted look, size down one size.  there is plenty of stretch to this dress and plenty of room in the bust and waist.  i generally go between 00p and 0p, and got this in a 0p (though either would work).  it comes to just above my knees at 5'2"", 110, 32-24.5-32.",1,1,1
37,Love this dress! wore it last night for a musical event... came home and put it on the hand wash setting in the washer with cold water...just as the label states. pulled the dress out and guess what? the design is completely faded!!! it looks 5 years old :( so sad. i'm going to call retailer and ask for a refund (i live two hours away),0,0,0
38,"This dress fit so oddly. i tried on two different sizes and both did this super unflattering poochy thing at the belly. the dress wasn't tight at my hips in either size, it was just that there was weird extra fabri right around the midsection that stuck out. maybe i was too short? couldn't figure it out. 

the color and detailing are beautiful though! a little tight in the bust.",0,0,0
39,The top ran too large and it made me look more bustier than i am and rounder in my midsection by how it fell on me. maybe would've been better for someone with a smaller bust. the quality of the fabric was just okay.,0,0,0
40,"This product is incredibly comfy and perfect for getting cozy however the sleeves were sort of loose and did not look cohesive with the grey. props on the draping though, that was lovely.",1,1,1
41,"I loved these pants the minute i put them on, and was so happy i'd ordered them. but i wore them only 3 times - and only at dinners with friends, not even for full days - and the seams on both legs ripped open! i think the faux leather just isn't equipped to handle the stretch of fitted leggings. i was super-bummed about this, because these pants are so insanely cute. but if they can't hold up to a few casual wears, then there's just no way... thankfully retailer was true to their brilliant custom",0,0,0
42,"Literally the only reason i am giving this 4 stars is because of my history with this brand (holes developing after minimal wear). i will do my usual wash but don't dry and hope it holds up!

material: super soft and comfortable, almost slubby. i haven't seen the yellow in person, the purple/grey is lovely. 

fit: moderate scoop neck as pictured (almost oval) that's a nice touch as it's not too low or high at the neck. not overly fitted over the chest or stomach - without being oversized - j",1,1,1
43,The jeans are the perfect high-waisted jeans. they do not stretch out and fit perfectly. the perfect length for a heel. love them all year round.,1,1,1
44,"I love how unique this top is, especially the buttons that run on the back.
it is cut boxy, but i think it works because there is so much other detail going on. the fabric is comfortable, and the stitching on the inside is not irritating.",1,1,1
45,"I'm so disappointed. the dress looked lovely in the box, but when i started to unbutton it to try it on, two buttons split in half! it's going right back.",0,0,0
46,A really great basic that can be styled a number of ways. i bought it in tan and white and received many compliments on it. the slightly off the shoulder look is really flattering and perfect for a spring or summer look.,1,1,1
47,"This is literally the most unflattering thing i have ever tried on from retailer. the sleeves are so weird and ugly. they get really fat at the top, like a dolman sleeve, but it looks really strange because they don?t flow into the rest of the top, which is very structured. it made my shoulders look huge even though i have very narrow shoulders. this is not apparent in the model picture at all. the thick black seams at the shoulders are also placed in a really awkward spot which also contri",0,0,0
48,Super cozy! now that the colder weather is coming i will likely be wearing these every night relaxing at home!!,1,1,1
49,"I tried these on in store and purchased them in the chocolate brown as the fit was perfect! i am 5' 8"" and weigh 145 pounds with an approximate 10"" difference between hips and waist. the size 27 fit perfectly. i was surprised that they did not wrinkle terribly as they are linen. they withstood wear during a very active day and still looked great by evening. they wash well and only needed a quick touch up with the iron. i liked them so well that i ordered a second pair in grey!",1,1,1
50,"Beautiful white top. peplum never looged good on me until i found this one. i am 5.4, 34 dd and this peplum looked good on me. most white tops are see through int he front and this one isn't. but back is a little see through. for casual that much see though is good. not sure for office. but this is still a keeper for me :)",1,1,1
51,"If you like a slightly heavier, non/clingy basic tee, this is it. i wore the long sleeved version all fall and winter, rotating colors, and i've been wearing these with shorts and leggings since i got them. the colors are great, fabric is quality, and the ribbon detail in the back gives these a little flare.",1,1,1
52,"The is a cute dress with a great pattern and nice material. it would look great on the right kind of figure. i'm 5'7"" and slim, but at thirteen weeks pregnant and not showing, the skirt made me look about thirty weeks pregnant, but the top fit just fine.",1,1,1
53,I love this shirt! it is so different from most things i get but such a fun change. the colors are bright and fun! you totally do not have to be western to enjoy this shirt and it's fun for a good country dancing/party/concert too. my roommate has already asked to borrow it (as in she's wearing it at a concert as i type this!). it is incredibly comfortable! i got the xs and was kind of surprised it still felt a little big. but i kept the size to wear it half tucked or even kind of oversized. i w,1,1,1
54,"This dress is really cute and is a lightweight knit that is great for warmer days. the color is a lovely dusty rose that looks just like the picture. since it is a knit material and does tend to stretch out, i did go down one size so that it would be more form fitting. the length on the petite size is perfect for me.",1,1,1
55,"I really liked this top but when i tried it on it was big and too boxy. i considered ordering it in petite but the sales person said that the cut would be the same, boxy but shorter so i decided to pass.",1,1,0
56,"Cute dress. can be worn with boots, flats, or heels. i am 5'1, 112 lbs, 34 b chest and i got this dress in size petite small. i am pear shape, with a bigger bottom, and love how dress enhances my shape! my style is more classic, but i really like this dress.",1,1,1
57,"I should have paid more attention to the reviews of this sweater before ordering. although the material looks soft and cozy in the photo, it's very scratchy and uncomfortable. i was also hoping the opening of the collar would be a little wider, which would have been more flattering on me. i never wear turtlenecks of any kind so i took a chance on this. i'm sure others will look fabulous in this sweater and may be happy with it if they don't mind the texture. i'm sending it back.",1,0,1
58,"This dress is beautiful and unusual. i think the colors shown in the picture are a little brighter than the dress i bought...the turquoise and gold seem slightly more muted in person, which isn't necessarily a bad thing. there are sequins along the shoulders of the dress that you also can't see in the picture, but they aren't gaudy or too stevie nicks-bohemian. i didn't find the bodice of the size m too tight as another reviewer noted...it's' my normal size, and though i'm a little chesty (32-34",1,1,1
59,"The color is darker than shown (i ordered the denim looking one). the flower things are not very visible as it all looks one color. it must be great for the tall skinny model , but if your 5'4'' and pear shaped like me, it's a no go! took it back to my local store.",0,0,0
60,The dress is extremely high quality! i purchased the dress in black. the white collared shirt that the model is wearing under the dress is not part of the dress. the dress overall is like a balloon. unless you're extremely tall and skinny this dress makes you look bigger! i ordered the small petite and am 125 lbs and 5'4. i really wanted to like this dress but unfortunately it's going back:( the petite hits 3 inches above the knee for reference.,0,0,0
61,I saw the colors and texture of this top and wanted to love it however when i put it on it just did not work. the cut was so strange. it runs very small in the shoulders and then flairs out so much at the waist. i even ordered up a size based on reviews. i ordered an 8 when i normally where a small (6) in things. the shoulders were still too small and it was way too big every where else.,0,0,0
62,"This is a cute top. not perfectly made, a little boxy, but also not a crop top on me (5'5). it looks cute with high waisted jeans.",1,1,1
63,"I was so excited to buy this coat, since i missed out on buying the last one. i snagged it quickly before heading out on a trip because this is the perfect plane jacket (i've borrowed my friends). i immediately noticed that the fabric was lighter and softer than the original, and after a few days noticed a lot of pilling on the coat, and a snag on the seam of the shoulder where the arm connects to the body. it's disappointing considering the price you pay. i would return if it still had tags on.",0,0,0
64,"I am floored by all of the positive comments about these culottes! i can see that they would work for someone who is rail thin and has no hips... but for those of us with curves (i'm a size 12, hourglass), these are very unflattering. they made me look like i was carrying an extra 20-30 pounds, just around the hips! so bummed because they look so cute on the model.",0,0,0
65,"There were no reviews when i purchased this dress. from the picture with the model, the dress looks to be a straight shift dress. i received mine yesterday and the dress flairs out and isn't straight. it is also pretty large. i ordered a medium as the smalls were sold out and i'm not sure i will keep it. still on the fence. dress is shorter than pictured as well. sleeves are shorter than shown. now, after having seen the dress and looking at the online picture, i think the model is holding her a",0,0,0
66,I absolutely love this dress. i have received so many compliments. the quality is incredible.,1,1,1
67,"When i first saw this shirt online i was so excited! it reminded me of why i love shopping in the fall! unfortunately when it came i was so disappointed. in person the fabric and the colors are gorgeous. it's fairly lightweight for a flannel but so soft and comfy cozy. i love the navy/cream polka dot that is on the inside of the cuffs and collar as well, and the buttons are cute too! when i put it on it was so comfortable, but it made me look like i was pregnant! especially from the side it just",1,1,1
68,"I tried this on even though i usually am not interested in cowlneck tops. the fabric is heavier, so it is not good for hot weather. the fabric is a weave of lighter and darker colors - you can see if you zoom in, so it has an interesting texture. very flattering because it is fitted and not boxy.",1,1,1
69,It was love at first sight. the only problem was that it didn't come in my size. i took a chance and order a size smaller and it worked out great. its a great item that can be worn in the spring and fall. exactly what i was looking for.,1,1,1
70,"This vibrant colors in this dress are beautiful, but the fit is very off. you would assume a fit like this would be slimming and flattering at the waist but it somehow squished down my boobs, and made my waist look wide. it also ran small.",1,0,0
71,This dress is absolutely hideous on my physique. ordered a size 6 and it hung on me like a cheaply made tent. i have an athletic built am a 34d. it is going back asap.,0,0,0
72,"Love the shape of this top and often look to retailer for corset-style summer tops that are pretty. this top is made from a thick, stiff fabric that doesn't breathe. so my usual size xxs was too constricting. tried an xs also and it basically fit but i still wasn't a fan of the very heavy fabric in a summer top. it's almost like a neoprene. the colors are an odd choice and not my favorite either. i wanted to see in person and they just don't cut it for me. would love in different colors and softer",1,1,1
73,"This dress really was huge, and not at all flattering. i don't know how they got it to look good on the model in the picture. material was nice and soft, but i really don't see how anyone could look good in this, no matter what your body shape is.",0,0,0
74,Love the feel and comfort,1,1,1
75,Love love these jeans. they are just the right rise and the straight leg is perfect. the color of the demin is great to wear to work. the fit is great.,1,1,1
76,"This dress is just lovely--i love the pattern and the cut, and it's very comfortable to wear. i like it because i can wear it just about anywhere, and it's appropriate. you can dress it up or down. i get lots of compliments when i wear it!",1,1,1
77,"I am of average height, but these pants are so long!! i considered altering them because i like the print, but i don't think it's worth the effort for workout attire so they're going back. shame!!",0,0,0
78,"These are adorable pants!!! i ordered them in both colors because i couldn't decide which was cuter. they are light and airy, but not see through. they will be perfect to use as a swim coverup, pajamas, dress them up, anything. very comfortable and versatile! i am a size 8 and ordered a medium and they fit perfect. the elastic doesn't pinch, but probably would have if i would have went with a small.",1,1,1
79,"I would not have purchased this had i not seen it at my local (2 hrs away!) store. as the previous review mentioned, the red is gorgeous! very saturated color, just lovely. it does run large. i am 5'10"", 135lbs. i typically wear medium but chose small and could possibly have done xs but i wanted the extra length.",1,1,1
80,"This top was too big for me. 5'4, 135lbs and ordered xxs. fit was fine and wanted it too work, but too overwhelming on me as well. will be going back.",0,0,0
81,"I love this top - it has the pattern and detailing that i feel like retailer used to do consistently, but often skimps on now. tit definitely runs small - i usually wear a 6 in retailer tops (sometimes a 4) and the 8 is quite fitted on me.",1,1,1
82,"As other reviewers have said, this is the perfect summer maxi dress! i'm tall, just under 6 feet, and while the dress could be just a bit longer it still works for my height. i do wish the skirt was lined, but other than that the dress is excellent. worth buying at full price if you're worried about it selling out!",1,1,1
83,"I am 5'4"" 120lbs, got xs. it was huge on me. had to return it. very trendy, great quality, unfortunate design. not worth the money.",0,0,0
84,"What a huge disappointment! i was really looking forward to wearing this top but it is very tight and awkward around the bust. if you have any semblance of a chest, this is not for you! i am a 38c and this was a no go. the quality of the top seems to be top notch but the fit was just no. it felt restrictive and it was hard to even move my arms and i have slender arms.",1,0,0
85,I just bought this dress today and i'm in love! i can't wait for the wedding i am wearing it to so i can wear it to other fun things too! looks even more amazing in heels.,1,1,1
86,"Received many compliments the first day i wore them.. amazing fit. disagree with the other post. the
quality is amazing. i wish they had other colors. bought xs",1,1,1
87,After seeing this on anthto's facebook page i was so excited to order. i ended up going to a store and trying on. i couldn't believe it was the same shirts when i first saw it. i thought this ran quite big. and the shape was odd. lots of material in the middle. i am a mom of 3 young kids and didn't want people to think #4 was on the way.,0,0,0
88,"This dress is just too baggy overall. i am 5'6"" 140 lbs and a size small was so unflattering. i can't go down in size because the waist detail will get too high on me. it was already a little high on the small.",0,0,1
89,Perfect way to add warmth in transition weather,1,1,1
90,"I love the built in layers of this shirt. it looks great layered with a long sleeved shirt underneath for winter also. being a teen in the 90s, it reminds me of a little bit of grunge, but in a less brooding more classy way. if only i still had my doc martins... i find the fit to be great, slightly loose, but not baggy and the fabric feels light but not fragile.",1,1,1
91,"I was so looking forward to receiving this in the mail! when it arrived, i was very disappointed. the color is more mauve than dusty pink, and the fabric is stiff and wrinkled.....not at all what i expect velvet to be (flowy and soft). the fabric seems very cheap for the price point.  i usually like floreat, but this one is headed right back to the store!",0,0,0
92,Lovely foxy sweater. i dressed it down for work but would look fantastic with a pretty skirt too!,1,1,1
93,"I ordered the in the emerald green and it was sent to me with a dime size hole in the sleeve. i am very disappointed, because i love the sweater. by the time it arrived, it was sold out in my size. now, i cannot exchange it for one that is not damaged. if the sweater was not damaged, i would recommend this product.",0,0,0
94,"I bought these on sale and they quickly went back. i was very disappointed after reading the reviews. i thought for sure these would be a winner. however, i was sadly mistaken. i ordered another pair of jeans, the same, from a different brand. these were way too small while my others were too large. they didn't live up to my expectation and were still rather long. even though i bought these on sale, i was not happy with the quality.",0,0,0
95,"I really liked this dress in pictures online. i wanted to wear it to work on casual fridays. everything about this dress was a disappointment, especially at this price point. the fit was weird: tight in some places, too loose in others (i'm usually xs or s, i ordered this one is s). it's made out of a fairly thick and warm material, yet the neck area of the dress is more exposed than it appears in pictures, especially in the back, making it awkward to have this very warm dress with neck, upper b",0,0,0
96,"I saw this in the store and loved the feel of the fabric but did not want to pay full price. i was very happy when it went on sale. the top clings nicely without feeling tight. i got sp (5'5, 125)as i worried the neckline would slip off. fits perfectly. fabric has a very slight sheen. i just hope it holds up to washing and caution is needed as you may create pulls with jewelry if careless.",1,1,1
97,"This runs sooo big! i normally wear a large ( 145lb, 5'-4"", 36dd) but due to the limited sizing small or medium i chose small because it looked big on the model and this style of dress seem to run large. the size small that i ordered couldve fit two people easily together! i loved the pattern, color and the slip underneath actually fit well but i dont want to look like im wearing a tent, lol. also, the back is slightly longer than the front, something i couldnt see from the pictures online.",0,0,0
98,"I'm 5'5"" 127lbs. ordered size small. not sheer. bodysuit snaps. great to wear with skirts and wide leg pants!!",1,1,1
99,I thought it was only me and immediately assumed i needed to go on a diet when i attempted to put this adorable skirt on. it got stuck at my hips. i'm a very consistent size small in dresses and skirts. i actually thought about putting it on over my head but that was impossible. its going back. now i see the other reviews and am relieved that its the skirt and not me! wish i had read them before purchasing. retailer is going to get a lot of returns on this one.,0,0,0
100,"This unit is gorgeous as a dress or as a top with a cami, skinny jeans and boots. i'm wearing it to my cousins wedding and obsessed. i bought a long delicate necklace at retailer with a gold pendant and it falls perfectly with the neckline. my only slightly negative comment is about the quality. the material is beautiful but i noticed the elastic coming through the ends of the waistband where it snaps shut. still keeping it though!",1,0,1
101,"A beautiful shawl but not practical. i was impressed with how elegant/romantic it first felt/looked.  however, after 5 minutes of wear, it would not stay on my shoulders. the design is very awkward and despite several attempts with different tops/tanks underneath, i kept running into the same problem. lovely for the first 5 minutes of wear and then awkwardly/annoyingly wouldn't stay on my shoulders. the neckline is undefined and it just fell off. not a great design. disappointedly returned it.",0,0,0
102,It's nice material but the design makes you look like a pregnant lady,0,0,0
103,"I love it! i was hesitant to spend so much on a suit, but it's well worth the money. i'm 5'3"", 140 lbs, and my stomach is my biggest problem area. i ordered a size 8 and it's a perfect fit and very flattering.",1,1,1
104,"Purchased the cream color in my local store. it looks great with jeans or leggings. i've worn it with a bright cami underneath with a couple of buttons open and it looked really cute too. it is very comfortable, runs big, but it's meant to not be fitted. the addition of pockets, (that don't stick out), makes me love it even more! i will be wearing this from fall to spring. great design, retailer!!!",1,1,1
105,"This shirt looked cute until i tried it on... worst fit ever. im thin, and this style of top is usually quite flattering, but this one missed the mark big time.",0,0,0
106,I loved the style so i ordered on line. it runs small and the arm inserts are so low its awkward to wear. i wish the cut was better cause i love the look but not the fit. i am returning this item..,0,0,0
107,"I don't know how to explain, but this dress at least for me did not look like the model, first off the dress is extremely heavy and extremely long and then where the fur starts, for me it didn't start at the right spot so it was very awkward looking... so definitely not for my type of body, i am normal height (5'5'', athletic and curvy body) but maybe for a very tall person looks good! the material is very interesting, it's so soft!",0,0,0
108,"This dress is so pretty on! i almost didn't try it on because on the hanger it didn't look like it would have any shape. well, it is super drapey and flowy, and it looks great on, almost swing style. it is doubled up on fabric, and with the longer sleeves i was scared it would make me too hot, but the fabric is light and breathable, it will be a perfect transitional dress for fall and early spring. fyi, the eyelet strip on the front and back are see through, didn't realize that the first time i",1,1,1
109,"I really loved this vest online and decided to try it on in store. it was really cute on and fit nicely so i purchased it (in my normal size) and took it on a vacation. first time wearing it and the color transferred all over my white shirt even though it says it is pre-washed. i am very disappointed considering how expensive this was. overall, it is very cute but it may ruin your clothes so beware!",0,0,1
110,"I ordered this in a size 1 which i thought would be a small and it was very, very wide. it is very short too. i typically wear a small and am 5'8"" and 132 lbs. it's going back unfortunately. very soft material though.",0,0,0
111,I tried it in the store but was not the true size so i ordered online. i wore it only once so far and got lots of compliments. very unique design.,1,1,1
112,"I've never spent this much money on a sweater but took the plunge using the retailer day discount. still painful but hopeful it would be worth it. i ordered the xl hoping to compensate for the shorter length. and it fell just below my hip bones so that part was okay. while this looks like the cashmere is on the thinner side, so the garment flows nicely, it's not. the weight of the sweater is substantial, heavier and much thicker than it looks. the color is different too. it's tan and grey, not whi",0,0,0
113,"I love this dress! my bra straps do not show in the back. you can slightly see them in the front but wearing black or nude gets you around this problem. i love the slim design-it is very flattering. i tried this is my normal size 4 but also the 4 petite. the petite did not work for me since there is a larger fabric cutout for the butt area-this was too high and above my natural waste. because of this, i opted for the slightly longer option where the extra fabric was surrounding my bum. this does",1,1,1
114,"I feel that for this price, i should love this top (and i wanted to). however, the price is on the high side for a relatively basic top, and there were a few things about it that could be improved.
pros: i ordered a medium and feel that it's pretty true to size. additionally, the fabric is nice and light (but also *sheer*) and, generally speaking, has a nice pattern. overall, it's a very pretty top.
cons: there's a cute criss-cross ruffle thing happening in the back but the model has cleverly",0,0,0
115,"I love the color of this dress. it is not flattering, even though it should be. the weird panels of different materials makes it hang super funky. the lace is heavy but the silky panels aren't. so not flattering, it's just odd. and the fit is super huge, you are swimming in it in addition to a poor body drape. it could have been so cute, but was executed so poorly.",0,0,0
116,This is adorable but if it truly has to be dry-cleaned that is deal killer,0,0,0
117,"The fit is so bad and the construction is very poor. i'm 5'1'', 100 lbs, ordered xxs petite. 

first of all, when i button this, there is extreme gaping going on. the vest runs narrow, yet tall?it shifts up my torso if i move at all, making the gaping even worse.

the ""skirt"" at the bottom is made of a very cheap, thin, slightly sheeny material that you would find at a flea market. it arrived unbelievably wrinkled and crumpled, and it was just so thin. it did not meet as closely in the middl",0,0,0
118,The armholes on this dress are totally bizarre. i can't believe no one else has commented on them yet. i am a size s on top and m on the bottom so i usually try on both in dresses. i tend to be a small/ size 6 in retailer. the armholes are so long that the dress doesn't lay right on top. i showed it to on of the clerks in the store and she agreed with me. we looked at all the others and they were the same. going up a size made it way worse. this dress might work for someone with really broad shoul,0,0,0
119,"This is a sweet, lightweight top that i will wear again and again. nice touches in the front and back. little keyhole opening with two buttons at the neck in back.",1,1,1
120,"I bought my typical size (xs) and it fits perfectly. it's loose but not overly baggy which is what i was looking for. the material seems very durable. my concern with all white tops is being too thin and see through and that was not the case with this shirt. the front comes right above my crotch and the back covers my cushion. i've only worn it once and that was with some bootcut jeans, booties, simple earrings and a statement necklace. i highly recommend it.",1,1,1
121,"Great little black dress for cooler evenings with boots, or dress down with a pair of flats for daytime. perfect fall dress!",1,1,1
122,"I'd been waiting to snatch up this jumpsuit as it looks so cute online, so when it went on sale i ordered it right away. well i was thoroughly disappointed. i agree with some of the other reviewers, the fit is odd, huge on top and too snug on the bottom. being made of flimsy silk it has no give and didn't hang well on my curvy body, being too loose in some areas and too snug in others. also the top is embroidered while the bottom isn't. the material is thin and and it definitely isn't high enoug",0,0,0
123,"Very cute top. i went down a size because for me it was a little large in the back, but that was just my taste. i purchased the denim print.",0,0,1
124,"Love the look of the pant! would have given more stars if it had arrived wearable. the pockets all had a corner stuck folded up, requiring washing or ironing before i can even wear them. worried that they will constantly have that issue.",1,0,1
125,This shirt looks and feels fabulous. i got black and white and received a ton of compliments. wore with boots and leggings and fun jewelry.,1,1,1
126,I ordered the yellow/floral version in size xl. it fits me just as shown with the model so it's true to size. it's very comfortable and made well. the floral looks the same in person as in the photos too.,1,1,1
127,"I purchased the dress with the bow-back shift in peach because i loved it's nautical theme pattern.  when i recurve do the dress, i found it to be stiff and boxy.  being a petite, short-waisted person, the top portion of the stress hung on my body awkwardly.  my bra strap was showing in the back, and the dress needed to be pulled up about 2 inches to properly sit on my frame.  
i returned the dress",0,0,0
